msoa11cd,ladnm,Wealth_Decile,Wealth_Decile_2019,IMD_2010,IMD_2019,IMD_Rank_2010,IMD_Rank_2019,IMD_Pctile_2010,IMD_Pctile_2019,IMD_Pctile_Change,IMD_Score_Change,Inflow_Wealthier_11,Outflow_Poorer_11,Total_Inflow_11,Total_Outflow_11,Total_Migration_11,CFI_Churn_11,CFI_Rate_11,Net_Cascade_11,Pct_Inflow_Wealthier_11,Inflow_Wealthier_21,Outflow_Poorer_21,Total_Inflow_21,Total_Outflow_21,Total_Migration_21,CFI_Churn_21,CFI_Rate_21,Net_Cascade_21,Pct_Inflow_Wealthier_21,Net_Cascade_21_alt,Inflow_Wealthier_21_alt,Outflow_Poorer_21_alt
E02000906,Waltham Forest,3,4,35.90037103571429,24.495634768907564,6250.322478991597,12393.946953781513,0.19242418813470838,0.3773580244118107,0.18493383627710233,-11.404736266806722,201.0,316.0,854,890,1744,517.0,36.419724770642205,-115.0,23.536299765807964,244.0,315.0,885.0,860.0,1745.0,559.0,44.04584527220631,-71.0,27.570621468926554,-55.0,286.0,341.0
E02000907,Waltham Forest,1,1,51.71215536147324,36.8695726137296,2257.5967727231287,5322.892971100374,0.06950301005859026,0.1620659167915106,0.09256290673292035,-14.842582747743641,750.0,0.0,905,892,1797,750.0,0.0,750.0,82.87292817679558,712.0,0.0,968.0,910.0,1878.0,712.0,0.0,712.0,73.55371900826447,756.0,756.0,0.0
E02000908,Waltham Forest,3,5,34.9940955270752,22.126199966049906,6399.6938550331015,13060.545747750806,0.19702277738541657,0.39765393215658285,0.20063115477116628,-12.867895561025296,346.0,384.0,1415,995,2410,730.0,55.13029045643154,-38.0,24.452296819787986,483.0,460.0,1605.0,1183.0,2788.0,943.0,79.69153515064562,23.0,30.093457943925234,-363.0,322.0,685.0
E02000909,Waltham Forest,4,6,31.910198950521412,20.60535833148436,7914.218437985356,14483.138229420902,0.24364935773614174,0.4409675505243241,0.19731819278818238,-11.304840619037051,134.0,515.0,856,787,1643,649.0,42.00243457090688,-381.0,15.654205607476634,184.0,501.0,866.0,796.0,1662.0,685.0,55.46570397111913,-317.0,21.247113163972287,-462.0,113.0,575.0
E02000910,Waltham Forest,3,4,35.114798438550615,24.582406985431458,6375.183507657826,11388.760272693313,0.19626819492820102,0.3467531443397063,0.15048494941150525,-10.532391453119157,303.0,614.0,1163,1355,2518,917.0,73.88482922954726,-311.0,26.053310404127256,343.0,444.0,1274.0,1297.0,2571.0,787.0,59.234539089848305,-101.0,26.923076923076923,-48.0,390.0,438.0
E02000911,Waltham Forest,1,3,43.31645350353496,29.245122545168893,3948.1542288557216,8662.470018329406,0.12154898801969463,0.2637458902182866,0.14219690219859196,-14.071330958366065,890.0,0.0,1057,1219,2276,890.0,0.0,890.0,84.20056764427626,892.0,0.0,1208.0,1335.0,2543.0,892.0,0.0,892.0,73.84105960264901,368.0,632.0,264.0
E02000912,Waltham Forest,2,3,37.602629664414664,28.8334393620556,5988.192490862775,9674.518329826116,0.1843541804957446,0.29455968608653377,0.11020550559078918,-8.769190302359064,383.0,237.0,760,949,1709,620.0,53.11351667641896,146.0,50.39473684210526,350.0,179.0,744.0,761.0,1505.0,529.0,41.627906976744185,171.0,47.043010752688176,188.0,369.0,181.0
E02000913,Waltham Forest,3,4,33.5584552854512,24.061859820171165,7024.663850070415,11791.682482937926,0.21626327966475015,0.3590209013195081,0.14275762165475794,-9.496595465280038,169.0,371.0,710,1005,1715,540.0,36.559183673469384,-202.0,23.80281690140845,153.0,239.0,665.0,743.0,1408.0,392.0,25.970880681818183,-86.0,23.007518796992482,-24.0,255.0,279.0
E02000914,Waltham Forest,1,1,46.62901749602251,35.18019383378016,3133.308285399584,6077.983288650581,0.09646291131702431,0.18505612253838088,0.08859321122135658,-11.448823662242354,801.0,0.0,983,1083,2066,801.0,0.0,801.0,81.4852492370295,798.0,0.0,1028.0,1082.0,2110.0,798.0,0.0,798.0,77.62645914396887,850.0,850.0,0.0
E02000915,Waltham Forest,3,5,34.90698294143647,21.75980552486188,6442.4579005524865,13428.817127071823,0.19833932333453871,0.4088666766250098,0.2105273532904711,-13.14717741657459,295.0,314.0,987,899,1886,609.0,49.114528101802755,-19.0,29.88855116514691,265.0,344.0,819.0,960.0,1779.0,609.0,51.242270938729625,-79.0,32.356532356532355,-303.0,212.0,515.0
