msoa11cd,ladnm,Wealth_Decile,IMD_Pctile_Change,Typology_11,Cascade_Dominance_11,Cross_Decile_Share_11,Sign_Concordance_11,Typology_21,Cascade_Dominance_21,Cross_Decile_Share_21,Sign_Concordance_21
E02000137,Bromley,9,0.0468431771894093,Counter-led,0.4262295081967213,0.9249431387414708,concordant,Counter-led,0.4542124542124542,0.899505766062603,concordant
E02000138,Bromley,10,0.015274949083503,Lateral,0.4134897360703812,0.7489019033674963,concordant,Lateral,0.4448742746615087,0.781557067271353,concordant
E02000139,Bromley,8,0.010183299389002,Counter-led,0.3586497890295358,0.8419182948490231,concordant,Counter-led,0.3985801217038539,0.874113475177305,concordant
E02000140,Bromley,2,-0.1109979633401222,Cascade-led,0.5533869115958668,0.91395592864638,concordant,Cascade-led,0.569620253164557,0.9330708661417324,concordant
E02000141,Bromley,7,0.0010183299389002,Counter-led,0.4089521871820956,0.895264116575592,concordant,Counter-led,0.4298160696999032,0.94337899543379,concordant
E02000142,Bromley,10,-0.0071283095723014,Lateral,0.5043196544276458,0.7234375,concordant,Lateral,0.4337957124842371,0.7335800185013877,concordant
E02000144,Bromley,10,0.0173116089613034,Lateral,0.4517374517374517,0.7311220889202541,concordant,Lateral,0.4254633360193392,0.7539489671931956,concordant
E02000145,Bromley,3,-0.0936863543788187,Cascade-led,0.5337904015670911,0.9444958371877892,concordant,Counter-led,0.4605103280680437,0.9236812570145904,concordant
E02000146,Bromley,9,-0.0234215885947046,Counter-led,0.4270134228187919,0.946031746031746,concordant,Counter-led,0.4341421143847487,0.927652733118971,divergent
E02000147,Bromley,10,-0.0010183299389001,Lateral,0.4344422700587084,0.6105137395459976,concordant,Lateral,0.4646098003629764,0.6340621403912543,concordant
E02000148,Bromley,10,-0.0183299389002037,Lateral,0.4476190476190476,0.6461538461538462,concordant,Lateral,0.4405737704918033,0.6941678520625889,concordant
E02000149,Bromley,6,-0.1048879837067209,Counter-led,0.450070323488045,0.903430749682338,concordant,Counter-led,0.4411347517730496,0.9155844155844156,concordant
